,name,lon,lat
396,Lefferts Pl & Franklin Ave,-73.9557689392,40.680342423
3491,E 118 St & 1 Ave,-73.93504,40.79747
351,Front St & Maiden Ln,-74.00612572,40.70530954
356,Bialystoker Pl & Delancey St,-73.98261206,40.71622644
3062,Myrtle Ave & Marcy Ave,-73.94954908,40.69539817
3361,Carroll St & 6 Ave,-73.9787282,40.6740886
3434,W 88 St & West End Ave,-73.97718340158461,40.79025417330419
3322,12 St & 4 Ave,-73.9904394,40.668603
411,E 6 St & Avenue D,-73.97668709,40.72228087
3338,2 Ave & E 99 St,-73.94552579,40.7862586
82,St James Pl & Pearl St,-74.00016545,40.71117416
3070,McKibbin St & Manhattan Ave,-73.94407279,40.70510918
3395,Henry St & W 9 St,-74.00324957,40.6763744
3144,E 81 St & Park Ave,-73.9590097,40.77677702
3311,Columbia St & Kane St,-74.0016256,40.68763155
505,6 Ave & W 33 St,-73.98848395,40.74901271
3288,E 88 St & 1 Ave,-73.9488134,40.778301
302,Avenue D & E 3 St,-73.97793172,40.72082834
3596,Sullivan Pl & Bedford Ave,-73.9574686,40.6642406
